idx_start,idx_end,dt_start,dt_end,t_start,t_end
,,,,32532.7,32534.7
,,,,32537.9,32542
,,,,32544.2,32546.7
11864,,,,,
,,,,32563.1,32566.9
,,,,32567.4,32569.3
11874,,,,,
11875,,,,,
,,,,32606.4,32607.2
,,,,32607.4,32608.3
,,,,32612.6,32616.7
,,,,32645.4,32647.1
,,,,32649.5,32650
,,,,32651.6,32652.2
,,,,32660.6,32661.8
,,,,32664.1,32665
,,,,32666.6,32667.7
,,,,32672.4,32674.2
,,,,32676.5,32678.2
,,,,32693.8,32697.2
,,,,32701.4,32703
,,,,32705,32706.2
,,,,32707.9,32708.6
,,,,32711.1,32711.9
11903,,,,,
,,,,32744.7,32746.9
,,,,32751.2,32753.7
,,,,32757.1,32757.7
,,,,32758.9,32759.7
,,,,32761.6,32764.2
20904,,,,,
20939,,,,,
